id,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,httpserver.ServerImpl$Dispatcher.run,handler.LoginFilter.doFilter,httpserver.Filter$Chain.doFilter,handler.AbstractHttpHandler.handle,snapservice.model.Filter.filter,image.BufferedImageOp.filter,image.TransferFilter.filter,image.PointFilter.filter,image.BufferedImage.getRGB,image.TransferFilter.filterRGB,image.BufferedImage.setRGB,image.AbstractBufferedImageOp.createCompatibleDestImage,image.BufferedImage.getRaster,image.BufferedImage.getWidth,image.PointFilter.setDimensions,image.BufferedImage.getType,image.BufferedImage.getHeight,image.TransferFilter.initialize,image.TransferFilter.initializeHelper,image.TransferFilter.makeTable,image.ContrastFilter.transferFunction,image.PixelUtils.clamp,image.WholeImageFilter.filter,image.EmbossFilter.filterPixels,lang.Math.sqrt,image.PixelUtils.brightness,image.PixelUtils.<clinit>,lang.Math.cos,lang.Math.sin,image.ColorModel.createCompatibleWritableRaster,image.BufferedImage.<init>,image.ColorModel.isAlphaPremultiplied,image.BufferedImage.getColorModel,image.WholeImageFilter.transformSpace,image.GrayscaleFilter.filterRGB,image.InvertFilter.filterRGB,image.RescaleFilter.transferFunction,image.TritoneFilter.filter,image.TritoneFilter.filterRGB,image.ImageMath.mixColors,image.FlipFilter.filter,image.KaleidoscopeFilter.filter,image.TransformFilter.filter,image.TransformFilter.filterHelper,image.KaleidoscopeFilter.transformInverse,image.ImageMath.triangle,lang.Math.atan2,lang.Math.floor,image.ImageMath.bilinearInterpolate,image.TransformFilter.getPixel,image.TransformFilter.transformSpace,image.ImageMath.clamp,image.SwimFilter.transformInverse,image.SwimFilter.transformInverseHelper,math.Noise.noise3,math.Noise.<clinit>,image.TwirlFilter.filter,image.TwirlFilter.transformInverseHelper,image.ChromeFilter.filter,image.LightFilter.filterPixels,image.LightFilter.phongShade,vecmath.Vector3f.normalize,vecmath.Tuple4f.scale,vecmath.Tuple3f.set,vecmath.Tuple4f.clamp,vecmath.Tuple3f.sub,vecmath.Tuple4f.set,vecmath.Tuple4f.add,vecmath.Vector3f.dot,vecmath.Tuple3f.scale,GaussianFilter.convolveAndTranspose,image.LightFilter.setFromRGB,math.ImageFunction2D.evaluate,image.GaussianFilter.makeKernel,lang.Math.ceil,lang.Math.exp,image.LightFilter$Light.prepare,image.CellularFilter.filterPixels,image.CrystallizeFilter.getPixel,image.CellularFilter.checkCube,lang.Math.abs,util.Random.setSeed,image.CellularFilter.checkCubeHelper,image.CellularFilter.checkCubeHelper1,image.ImageMath.smoothStep,image.SmearFilter.filterPixels,image.SmearFilter.filterPixelsHelper,util.Random.nextInt,image.MinimumFilter.filterPixels,image.PixelUtils.combinePixels,image.BicubicScalingFilter.filter,awt.Graphics2D.drawImage,image.BufferedImage.createGraphics,Graphics2D.setRenderingHint,awt.Graphics2D.dispose,image.OilFilter.filterPixels,image.AbstractBufferedImageOp.getRGB,image.AbstractBufferedImageOp.setRGB,image.CurlFilter.filter,image.CurlFilter.transformInverse,image.CurlFilter.transformInverseHelper,image.CurlFilter.getPixel,image.EdgeFilter.filterPixels,image.SolarizeFilter.transferFunction,image.GaussianFilter.filter,image.GaussianFilter.convolveAndTranspose,image.Kernel.getKernelData,image.Kernel.getWidth,image.ConvolveFilter.createCompatibleDestImage,image.DespeckleFilter.filterPixels,image.DespeckleFilter.pepperAndSalt
1,515,554,503,516,490,490,503,554,535,493,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1489,1360,1445,1519,1381,1422,1445,1360,1456,1501,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6951,6201,6899,6886,6333,6247,6899,6201,6965,6817,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,523,470,489,521,489,483,489,470,530,526,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1474,1352,1482,1484,1367,1406,1482,1352,1481,1501,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2613,2525,2692,2673,2441,2406,2692,2525,2614,2698,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2624,2865,2756,2681,2454,2493,2756,2865,2692,2706,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3381,3698,3715,3765,3430,3370,3715,3698,3669,3781,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,13701,14516,14335,14831,13658,13656,14335,14516,14879,14938,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,468,489,481,533,484,490,481,489,527,538,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
