id,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10 
1,535,521,533,530,528,524,520,528,519,526
2,1559,1503,1500,1530,1510,1485,1539,1553,1548,1518
3,7004,7001,8732,7014,6835,7049,9524,6801,6884,6803
4,540,520,534,534,533,523,514,536,522,530
5,7240,6812,6818,6903,6902,6754,6806,6807,6899,6726
6,2609,2604,2559,2545,2609,2570,2551,2617,2587,2642
7,2638,2584,2610,2602,2612,2590,2602,2586,2599,2600
8,3607,3598,3653,3632,3587,3612,3635,3747,3716,3776
9,14798,14800,14781,15246,16007,15719,15415,14908,15521,15429
10,525,523,631,527,527,527,534,515,633,531
11,2633,2657,2736,2555,2520,2540,2673,2811,2704,2594
12,1539,1478,1466,1498,1513,1569,1478,1456,1513,1471
13,2303,2278,2235,2268,2308,2267,2270,2259,2308,2255
14,1458,1491,1438,1446,1488,1452,1437,1486,1453,1456
15,3706,3730,3729,3729,3740,3690,3660,3732,3746,3707
16,1463,1402,1447,1416,1413,1417,1440,1466,1428,1460
17,474,477,477,462,461,476,460,456,468,463
18,2412,2454,2376,2384,2366,2327,2400,2338,2329,2404
19,2331,3129,2353,2290,2279,2313,2261,2248,2247,2240
20,480,483,485,492,481,478,487,484,489,481
21,3767,3938,3698,3682,3703,3903,3812,3968,3989,4066
22,2671,2625,2678,2690,2662,2672,2622,2693,2648,2535
23,504,498,508,505,492,506,497,511,518,503
24,2543,2547,2500,2539,2558,2514,2463,2411,2542,2540
25,3879,3655,3853,3792,3812,3631,3661,3644,3747,3780
26,2671,2615,2587,2617,2616,2584,2616,2647,2608,2668
27,2348,2385,2347,2428,2328,2288,2332,2259,2294,2309
28,498,485,493,495,498,484,497,478,512,493
29,2358,2389,2351,2450,2450,2489,2534,2412,2409,2512
30,2714,2734,2640,2671,2666,2606,2606,2576,2599,2590
31,1625,1594,1618,1631,1601,1619,1599,1615,1600,1591
32,540,593,544,557,540,521,534,530,520,532
33,1496,1475,1487,1472,1478,1495,1516,1526,1481,1509
34,14951,14819,15061,15063,14934,15048,15265,15039,14917,14847
35,2620,2584,2607,2627,2607,2664,2621,2629,2650,2607
36,1522,1520,1524,1517,1548,1524,1509,1517,1530,1541
37,15034,15005,14968,14984,14968,15000,15046,14985,14948,15012
38,15101,15043,15043,15041,14681,15146,15416,14875,14950,14886
39,2344,2361,2338,2368,2358,2447,2516,2458,2489,2461
40,3922,3896,3978,4002,3951,4021,3911,3824,3879,3892
41,646,644,659,631,636,631,641,634,645,648
42,7164,6987,6753,7018,7008,6837,6845,6899,6808,6735
43,494,497,503,497,500,501,501,501,498,489
44,2431,2376,2395,2408,2377,2416,2414,2424,2400,2454
45,532,514,521,529,528,524,528,529,541,527
46,1644,1631,1645,1668,1663,1620,1618,1592,1606,1652
47,2537,2542,2540,2551,2515,2579,2590,2526,2514,2535
48,1641,1608,1575,1634,1700,1811,1603,1625,1716,1624
49,499,496,513,504,530,543,521,506,493,512
50,2421,2364,2400,2350,2493,2516,2420,2447,2387,2379
51,485,470,486,472,476,475,483,481,469,465
52,2482,2439,2426,2409,2410,2459,2428,2396,2470,2427
53,2558,2602,2657,2701,2628,2616,2600,2658,2838,2725
54,14796,14531,14523,14754,14576,14830,14732,14924,15145,15094
55,529,550,550,563,556,560,553,548,558,563
56,1619,1608,1598,1726,1619,1574,1622,1615,1568,1621
57,1629,1615,1591,1634,1610,1660,1621,1584,1620,1600
58,613,638,629,617,638,611,642,629,643,614
59,511,513,487,513,519,511,493,502,511,507
60,1620,1620,1588,1590,1605,1583,1606,1572,1595,1585
61,2465,2471,2412,2460,2453,2519,2496,2551,2493,2535
62,2783,2779,2797,2783,2842,2829,2758,2799,2757,2808
63,1740,1675,1680,1727,1655,1646,1654,1679,1640,1706
64,538,532,539,549,534,546,553,529,543,540
65,1798,1795,1815,1809,1794,1791,1778,1814,1784,1818
66,3799,3803,3812,3845,3821,3827,3782,3854,3846,3881
67,1579,1536,1576,1561,1555,1536,1577,1541,1553,1556
68,2599,2629,2622,2614,2598,2620,2610,2628,2576,2586
69,14964,15000,16516,16503,15367,15222,16385,16293,15552,15943
70,15729,15806,15862,15795,15999,16838,15015,15033,14971,14928
71,2481,2528,2526,2568,2475,2507,2484,2495,2465,2485
72,1659,1628,1655,1657,1630,1674,1657,1658,1662,1646
73,616,619,604,620,628,622,608,611,615,612
74,14921,14858,14888,14832,16531,15928,15159,14446,14575,14729
75,1555,1584,1558,1600,1576,1548,1607,1554,1583,1564
76,507,494,501,498,504,495,505,501,492,493
77,551,535,531,538,539,536,531,537,539,531
78,14818,14520,15628,16703,14506,15408,14449,14501,14767,14966
79,1620,1618,1624,1641,1632,1640,1628,1619,1601,1609
80,538,531,559,541,554,540,544,542,535,537
81,15017,14999,15443,15163,14901,14923,14960,14912,15009,15110
82,1701,1725,1640,1620,1660,1688,1660,1657,1663,1718
83,1665,1694,1634,1677,1650,1652,1625,1672,1687,1715
84,7044,7121,7010,7016,6992,7058,7003,6984,7002,7023
85,2488,2462,2464,2642,2458,2559,2497,2474,2474,2503
86,1630,1628,1657,1614,1648,1626,1615,1665,1652,1618
87,651,632,621,637,619,628,615,636,630,621
88,2631,2568,2562,2606,2606,2616,2590,2590,2638,2572
89,499,507,499,518,498,503,514,507,495,513
90,2754,2783,2740,2782,2719,2735,2711,3002,2779,2727
91,7105,7005,6987,7059,7013,7070,7050,6998,7069,7069
92,15269,14981,15044,14978,14931,14877,14900,14917,14942,14909
93,6990,7013,7095,7051,7035,7217,7234,7051,7075,7033
94,3839,3822,3831,3866,3889,3827,3804,3848,3906,3905
95,543,552,592,556,541,541,552,579,574,533
96,2857,2825,2810,2770,2803,2775,2793,2799,2804,2827
97,1822,1789,1693,1691,1701,1706,1665,1660,1668,1690
98,2734,2753,2758,2747,2783,2741,2788,2741,2772,2752
99,7047,7101,7080,7137,7110,7138,7025,6989,6967,7041
100,3801,3825,3852,3844,3803,3819,3814,3831,3827,3919
101,1629,1617,1637,1620,1704,1612,1623,1667,1618,1629
102,5439,5334,5315,5320,5387,5379,5384,5367,5162,5213
103,1515,1495,1488,1504,1504,1518,1571,1561,1548,1498
104,2620,2799,2622,2632,2632,2586,2579,2803,2666,2652
105,1536,1504,1500,1495,1537,1508,1558,1492,1549,1532
