id,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10 ,microBenchmark_ver1.MSB0_10_100_10.f0,microBenchmark_ver1.MSB0_10_100_10.f1,microBenchmark_ver1.MSB0_10_100_10.f2,microBenchmark_ver1.MSB0_10_100_10.f3,microBenchmark_ver1.MSB0_10_100_10.f10,microBenchmark_ver1.MSB0_10_100_10.f8,microBenchmark_ver1.MSB0_10_100_10.main,microBenchmark_ver1.MSB0_10_100_10.f4,microBenchmark_ver1.MSB0_10_100_10.f5,microBenchmark_ver1.MSB0_10_100_10.f6
1,327,311,339,309,305,311,309,316,308,319,0,1,0,0,0,0,1,0,0,0
2,435,415,416,410,406,402,414,403,412,402,0,0,1,0,0,0,1,0,0,0
3,310,318,305,316,320,312,307,311,311,316,0,1,0,0,0,0,1,0,0,0
4,314,302,315,308,311,315,336,304,310,320,0,1,0,0,0,0,1,0,0,0
5,308,309,304,313,320,313,316,317,322,310,0,1,0,0,0,0,1,0,0,0
6,223,218,223,209,212,208,218,208,215,211,1,0,0,0,0,0,1,0,0,0
7,702,716,714,704,697,708,705,713,699,703,0,0,0,0,0,0,1,0,1,0
8,209,212,217,205,208,216,215,213,212,215,1,0,0,0,0,0,1,0,0,0
9,213,213,213,207,209,205,212,206,228,215,1,0,0,0,0,0,1,0,0,0
10,318,314,394,306,319,312,312,305,320,309,0,1,0,0,0,0,1,0,0,0
11,205,212,212,203,219,214,213,213,213,208,1,0,0,0,0,0,1,0,0,0
12,209,215,215,212,218,208,219,222,215,217,1,0,0,0,0,0,1,0,0,0
13,104,113,104,105,104,116,116,104,103,103,0,0,0,0,1,0,1,0,0,0
14,408,408,405,415,404,414,404,418,406,408,0,0,1,0,0,0,1,0,0,0
15,212,210,219,219,219,204,210,222,209,211,1,0,0,0,0,0,1,0,0,0
16,220,209,213,212,208,209,210,211,209,212,1,0,0,0,0,0,1,0,0,0
17,312,328,315,308,321,307,309,316,314,307,0,1,0,0,0,0,1,0,0,0
18,208,213,219,211,215,207,217,209,215,209,1,0,0,0,0,0,1,0,0,0
19,309,311,316,310,319,311,314,316,309,311,0,1,0,0,0,0,1,0,0,0
20,216,208,220,216,210,231,213,203,224,211,1,0,0,0,0,0,1,0,0,0
21,309,301,314,305,314,309,317,309,306,311,0,1,0,0,0,0,1,0,0,0
22,607,605,621,607,618,607,613,606,595,598,0,0,0,0,0,0,1,1,0,0
23,604,610,613,603,614,604,609,623,595,606,0,0,0,0,0,0,1,1,0,0
24,309,317,316,313,312,307,304,311,325,319,0,1,0,0,0,0,1,0,0,0
25,218,214,207,234,205,220,220,215,220,211,1,0,0,0,0,0,1,0,0,0
26,206,202,210,221,215,209,230,215,210,208,1,0,0,0,0,0,1,0,0,0
27,308,318,306,315,310,327,307,316,314,326,0,1,0,0,0,0,1,0,0,0
28,228,231,243,248,294,214,222,219,220,225,1,0,0,0,0,0,1,0,0,0
29,258,216,330,258,291,263,253,251,222,206,1,0,0,0,0,0,1,0,0,0
30,234,237,212,205,212,210,227,213,230,220,1,0,0,0,0,0,1,0,0,0
31,506,509,509,510,501,506,500,510,506,513,0,0,0,1,0,0,1,0,0,0
32,325,311,394,333,308,412,313,322,313,309,0,1,0,0,0,0,1,0,0,0
33,222,216,217,208,208,210,216,204,214,213,1,0,0,0,0,0,1,0,0,0
34,410,408,395,415,400,399,414,414,411,395,0,0,1,0,0,0,1,0,0,0
35,210,208,213,210,211,207,219,211,214,215,1,0,0,0,0,0,1,0,0,0
36,209,214,204,210,211,206,213,214,213,211,1,0,0,0,0,0,1,0,0,0
37,314,314,303,313,318,314,313,310,305,314,0,1,0,0,0,0,1,0,0,0
38,218,217,215,214,225,203,215,209,213,213,1,0,0,0,0,0,1,0,0,0
39,212,206,218,213,211,212,226,213,215,210,1,0,0,0,0,0,1,0,0,0
40,315,304,303,310,311,312,309,316,313,316,0,1,0,0,0,0,1,0,0,0
41,217,227,205,213,213,217,227,218,230,230,1,0,0,0,0,0,1,0,0,0
42,225,223,213,214,216,211,236,219,225,209,1,0,0,0,0,0,1,0,0,0
43,397,410,427,440,399,405,456,485,481,498,0,0,1,0,0,0,1,0,0,0
44,318,320,315,322,312,310,308,310,309,320,0,1,0,0,0,0,1,0,0,0
45,212,206,211,221,202,212,211,223,215,216,1,0,0,0,0,0,1,0,0,0
46,316,408,317,317,322,338,313,312,311,311,0,1,0,0,0,0,1,0,0,0
47,810,814,820,796,798,822,798,806,883,905,0,0,0,0,0,0,1,0,0,1
