id,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
1,1525,1643,1606,1577,1613,1458,1462,1498,1435,1496
2,1622,1574,1541,1433,1445,1551,1527,1388,1519,1621
3,5427,5451,5412,5516,5538,5679,5899,5961,5467,5345
4,1485,1564,1599,1612,1518,1611,1459,1563,1520,1509
5,1467,1549,1621,1617,1627,1487,1465,1501,1573,1607
6,5793,5633,6026,6556,5795,5660,5412,6591,6046,5549
7,6317,5418,5405,5327,5387,5345,5404,6504,6784,6559
8,1558,1574,1528,1581,1522,1535,1500,1525,1503,1544
9,5653,5756,5606,5666,5623,5572,5555,5768,5739,5821
10,6064,6578,6445,6306,6348,6358,6062,6092,6109,6036
11,6225,6137,6205,6165,6223,6099,5960,6063,5930,5849
12,6272,6328,6101,6198,6378,6244,6523,7168,6341,6776
13,7683,6630,6476,6210,6386,6151,6112,5925,5910,5959
14,5407,5854,5310,5297,5330,5426,5295,5515,5451,5343
15,5526,5390,5353,5377,5481,5350,5340,5403,5291,5324
16,1459,1461,1475,1453,1526,1452,1517,1475,1412,1512
17,5585,5550,5600,5472,5404,5428,5501,5491,5473,5459
18,5673,5547,5557,5545,5635,5677,5652,5556,5588,5800
19,5720,5713,5799,5655,5689,5857,5892,6011,5693,5708
20,5813,5821,5781,5829,5839,5895,5741,5791,5831,5732
21,5952,5937,6024,6012,5926,5969,6008,6010,6521,6718
22,1003911,948264,952775,953566,953254,953482,951744,949922,954478,949446
23,5973,5825,5989,5920,6007,5858,5859,5941,5813,5779
24,5775,5646,5854,5866,5667,5708,5757,5582,5739,5787
25,5779,5922,5889,5764,5823,5756,5752,5683,5894,5747
26,5800,5768,5636,5867,5804,5792,5994,5730,5792,5857
27,5742,5769,5863,5841,5883,5763,5752,5979,5705,5881
28,5723,5794,5802,5758,5928,5826,5767,5737,5795,5805
29,5786,5827,5675,5808,5731,5829,5777,6056,5784,5778
30,1443,1456,1540,1527,1441,1496,1436,1428,1443,1430
31,5874,5915,5603,5968,5792,5742,5883,5772,5842,5943
32,1441,1456,1448,1489,1433,1487,1523,1442,1463,1498
33,954564,967195,1005598,1028041,1037609,1056405,1051702,1028269,1075508,1025428
34,6346,6294,6079,6429,6321,6085,6027,6432,6675,6599
35,6340,6029,6009,6030,6025,6073,6127,6438,6698,6068
36,6024,6223,5977,6028,6011,5929,6010,6002,5958,5974
37,5959,6174,6112,6008,6008,5987,5997,6035,6017,6192
38,6155,6064,6077,6046,6028,5999,5995,6085,6014,6075
39,6361,6262,6085,6130,6154,6388,6434,6497,6232,6608
40,6159,6158,6122,6175,6102,6008,6044,5942,6081,6145
41,6029,6025,6082,6016,6073,6062,6195,6080,5908,6115
42,6252,6188,6132,6093,5996,5998,6672,6253,6345,6434
43,1031601,1016241,1025026,1017806,1031998,1068251,976596,1025726,981136,948573
44,5711,5820,5873,5776,5840,5787,5804,5905,5851,5913
45,5864,5735,5844,5811,5800,5856,5838,5811,5708,5719
46,945283,945679,944740,950436,944698,950475,944711,946429,947426,948349
47,5724,5712,5756,5776,5750,6480,5789,5868,5921,5696
48,5841,5884,5753,5754,5719,6248,5730,5727,5846,5780
49,5772,5804,5758,5680,5997,5752,5897,5748,5813,5945
50,5801,5885,5791,5951,5856,5679,5918,5831,5749,5862
51,5834,5883,5953,5848,5881,6050,5873,5793,5873,5860
52,948704,943254,942708,953276,947195,950064,947577,950214,948415,950832
53,5977,5788,5662,5713,5899,5813,5893,5870,5689,5856
54,5848,5835,5946,5809,5805,5683,5951,5910,6388,5929
55,1499,1432,1469,1461,1356,1426,1405,1413,1460,1514
56,946648,948082,955171,946620,949112,945776,949800,947293,944148,948786
57,5917,5879,5928,5850,5903,5879,5765,5887,5810,6282
58,5975,5922,5828,5959,5965,6548,5813,5856,5809,6032
59,4835,4841,4824,4895,4790,4874,4692,4848,4823,4895
60,4807,4762,4902,4777,4822,4861,4867,4718,4808,4835
61,4871,4750,4810,4754,4896,4945,4731,4848,4880,4933
62,4873,4799,4947,4929,4938,4975,4832,4920,5012,4851
63,4837,5002,4858,4946,4812,4853,4932,5010,4863,4773
64,1403,1405,1476,1411,1351,1427,1388,1508,1499,1471
65,1609,1423,1423,1386,1539,1482,1576,1409,1418,1434
66,4914,4859,4951,5024,4905,5003,4906,4915,4970,4993
67,4975,4949,5069,4946,4911,4955,5088,5040,4981,5050
68,5050,4927,4934,4877,4985,4910,4883,4879,4982,4998
69,4948,4879,5088,5073,4946,5005,5050,4964,5009,4946
70,944463,948413,943756,947975,2434278,995189,981866,969673,1020547,1011320
71,5098,5084,5053,5053,5065,5034,5274,5182,5082,5006
72,5242,5027,5007,4938,5004,5006,5087,5209,5066,5796
73,5322,5065,5152,5123,5661,4991,5209,5293,5316,5245
74,5167,5325,5228,5363,5317,5384,5155,5189,5215,5198
75,1524,1531,1550,1559,1538,1504,1479,1587,1517,1548
76,1033032,1064054,1068483,1063505,1198065,1058040,1089422,1080073,1058516,1068864
77,5581,5568,5544,5562,5542,5586,5602,5624,5524,5627
78,5486,5510,5567,5617,5554,5594,5632,5620,5520,5533
79,5469,5534,5506,5733,5515,5505,5455,5451,5567,5496
80,5754,5591,5502,5466,5615,5533,5589,5570,5581,5512
81,5594,5625,5849,6043,5909,7044,5551,5784,5677,6696
82,5930,6110,5874,5805,5829,5760,5754,5591,5502,5466
85,5322,5281,5132,5789,6070,5518,6047,5555,5468,6142
86,5614,5743,5362,5370,5274,5360,5362,5362,5173,5267
87,5509,5486,5312,5444,5756,5337,5341,5560,5428,5727
88,5324,5340,5639,5758,5750,5648,5514,5257,5399,5278
89,5372,5560,5387,5194,5396,5422,5647,5624,5618,5808
90,7071,5974,5838,6063,7031,5856,6134,5584,5700,5655
91,5584,5601,5543,5638,5625,5521,5583,5649,5688,5425
92,5378,5702,5422,5434,5410,5360,5615,5700,5661,5591
93,978828,965122,990699,1053139,1176812,1142055,1314418,1283254,966146,966618
94,1477,1451,1639,1578,1592,1544,1493,1455,1555,1461
95,1605,1471,1439,1491,1456,1540,1406,1404,1421,1493
96,6617,6514,6461,6527,6634,6652,6482,6632,6479,6670
97,7207,7179,7178,7286,7271,7179,7221,7242,7184,7218
98,7232,7159,7221,7242,7190,7168,7235,7170,7211,7273
99,1031388,1004982,977705,964383,1078052,960271,958631,958446,955449,960601
100,7520,7512,7637,7510,7549,8381,7655,7544,7543,7598
101,7348,7282,7332,7356,7425,7316,7293,7374,7294,7246
102,7377,7390,7373,7376,7274,7384,7376,7279,7355,7342
103,7345,7235,7372,7334,7507,7486,7400,7281,7256,7299
104,7797,7267,7288,7321,7384,7511,7354,7305,7292,7450
105,7647,7773,7633,7784,7605,7608,7664,7682,7698,7543
106,7335,7458,7381,7461,7351,7315,7884,7572,7520,7376
107,7416,7279,7365,7446,7351,7376,7443,7357,7420,7525
108,7565,7585,7544,7552,7474,7507,7627,7513,7483,7578
109,963699,958875,956197,959858,954952,956053,954176,960916,962276,963712
110,7587,7742,7657,7648,7493,7417,7567,7610,7666,7527
111,7237,7279,7226,7249,7264,7194,7299,7169,7281,7311
112,7294,7148,7211,7235,7205,7096,7144,7221,7210,7118
113,7272,7397,7248,7285,7275,7249,7293,7210,7220,7223
114,8258,7260,7353,7307,7296,7272,7265,7245,7299,7304
115,959395,957139,960878,959223,963339,963414,958461,957915,960243,960127
116,7321,7277,7249,7242,7278,7435,7259,7262,7198,7387
117,7171,7090,7095,7112,7040,7202,7017,7170,7133,7036
118,7345,7594,7422,7289,7426,7391,7432,7318,7473,7232
119,7439,7343,7380,7434,7480,7445,7367,7334,7386,7451
120,1483,1442,1405,1500,1468,1451,1404,1420,1448,1461
121,7394,7244,7224,7284,7265,7369,7350,7217,8047,7296
122,7262,7382,7451,7425,7419,7233,7373,7483,7394,7335
123,960616,963008,961064,970864,961373,961954,955642,963022,965984,989172
124,7774,7728,7713,7713,7736,7709,7733,7747,7940,7445
125,7871,8592,7783,7752,7595,7736,7687,7781,7750,7704
126,7831,8258,8152,7968,7948,7900,7979,8080,7797,8402
127,7670,8291,8618,7890,7185,7683,8282,7509,7964,8069
128,1590,1536,1542,1568,1541,1563,1534,1561,1583,1589
129,7911,7820,7763,7917,7962,7464,8997,9147,7644,7240
130,6871,6602,6068,5796,5649,5806,5745,5573,5672,5772
131,5895,6476,5776,5760,5704,5784,5750,5831,5738,5664
132,5799,5858,5848,6163,6870,7344,6425,6802,6340,6324
133,7510,7437,7484,7320,7263,7434,7475,7596,7428,7511
134,7315,7134,7288,7612,7417,7317,7345,7233,7732,9797
135,7815,7741,8519,7963,7923,7574,7697,7641,7659,8446
136,7593,7458,7456,7428,8034,7488,7476,7833,7831,7758
137,5587,5501,5526,5492,6608,6915,5534,5935,5530,5382
138,1057946,1043436,1049225,1062166,1067392,1068171,982305,1029388,1024214,998818
139,5325,5284,5215,5273,5276,5288,5238,5341,5284,5343
140,1511,1384,1556,1476,1443,1469,1434,1447,1455,1463
141,5317,5340,5308,5307,5334,5448,5418,5366,5344,5426
142,5435,5492,5450,5433,5430,5383,5457,5464,5581,5821
143,5676,5625,5625,5518,5583,5480,5523,5609,5527,5797
144,5645,5643,5702,5785,5685,5603,5727,5904,5750,5657
145,5673,5774,5776,5725,5752,5802,5758,5773,5889,5766
146,5868,5875,5847,5888,5792,5886,6193,6003,5838,5860
147,5360,5236,5343,5318,5367,5448,5436,5423,5388,5332
148,5428,5459,5780,5413,5416,5435,5427,5404,5425,5479
149,964149,965771,1016837,973020,950197,944871,943072,947137,945132,942966
150,1424,1481,1456,1493,1418,1457,1428,1380,1447,1478
151,5929,5467,5439,5586,6097,5573,5501,5507,5629,5645
152,5641,5702,5538,5627,5491,5653,5621,5693,5672,5640
153,5725,5780,5646,5740,5636,5805,5690,5656,5633,5700
154,5824,5794,5804,5850,5874,5911,5902,5827,5879,5813
155,1378,1421,1429,1389,1425,1435,1393,1439,1414,1402
156,942386,946753,944572,946379,947745,943374,944065,944993,943558,943261
157,1443,1406,1584,1579,1431,1516,1442,1380,1465,1553
158,973325,1027715,1009200,989277,1024292,1055314,993757,1056887,952825,953631
159,1539,1538,1493,1488,1471,1450,1513,1484,1497,1454
160,1442,1492,1442,1401,1388,1445,1420,1436,1492,1392
161,1547,1433,1454,1392,1376,1478,1439,1459,1567,1546
162,953489,954420,951374,948083,944863,952077,948063,947330,953845,950676
163,1466,1413,1464,1416,1442,1400,1556,1780,1520,1404
164,1513,1436,1513,1504,1404,1436,1473,1380,1518,1450
165,5688,5528,5575,6238,5514,5450,5683,5546,5692,5544
166,1448,1404,1402,1396,1455,1517,1422,1419,1486,1406
167,5465,5581,5406,5409,5498,5429,5410,5357,5412,5361
168,957556,953462,951241,956542,954323,960667,952492,954157,949875,949476
169,5879,5859,5784,5752,5927,5777,5775,5852,5834,5829
170,1593,1511,1401,1479,1410,1455,1418,1515,1405,1408
171,1484,1449,1430,1493,1419,1523,1430,1497,1598,1421
172,5063,5610,5069,4962,5065,5053,5108,4986,5106,4916
173,5099,4998,5099,5002,5040,5092,5073,5028,5061,5066
174,5125,5143,5139,5047,5138,5214,5142,5207,5081,5114
175,5103,5140,5096,5134,5055,5050,5143,5088,5147,5183
176,5132,5200,5136,5124,5067,5165,5170,5141,5068,5153
177,945372,944514,949607,948590,949217,950539,948481,951223,948177,947776
178,954413,949121,948703,2333045,1200466,1262033,1153872,1924100,1067107,1085656
179,1105711,1103225,1064748,1058782,1064004,1092875,1032372,1026224,1033157,1034755
181,1424,1481,1456,1493,1418,1457,1428,1380,1447,1478
182,1525,1643,1606,1577,1613,1458,1462,1498,1435,1496
183,1484,1449,1430,1493,1419,1523,1430,1497,1598,1421
184,1378,1421,1429,1389,1425,1435,1393,1439,1414,1402
185,1511,1384,1556,1476,1443,1469,1434,1447,1455,1463
186,1477,1451,1639,1578,1592,1544,1493,1455,1555,1461
187,1593,1511,1401,1479,1410,1455,1418,1515,1405,1408
188,1477,1451,1639,1578,1592,1544,1493,1455,1555,1461
189,1605,1471,1439,1491,1456,1540,1406,1404,1421,1493
190,1483,1442,1405,1500,1468,1451,1404,1420,1448,1461
191,1403,1405,1476,1411,1351,1427,1388,1508,1499,1471
192,1609,1423,1423,1386,1539,1482,1576,1409,1418,1434
